# times = 0 2.5 5 7.5 10 12.5 15 17.5 20 22.5 25 27.5 30 32.5 35 37.5 40 42.5 45 47.5 50 52.5 55 57.5 60 62.5 65 67.5 70 72.5 75 77.5 80 82.5 85 87.5 90 92.5 95 97.5 100
# radius_um, T[K] per time (us); Gaussian beam 10um FWHM + radial diffusion
3.2107,300,1080.07,1659.93,2120.6,2502.54,2828.67,3113.2,3365.52,3592.19,3797.92,3986.27,4159.94,4321.05,4471.29,4612.04,4744.42,4869.38,4987.7,5100.05,5207.01,5309.07,5406.65,5500.14,5589.87,5676.12,5759.15,5839.2,5916.48,5991.16,6063.42,6133.41,6201.27,6267.12,6331.08,6393.26,6453.74,6512.63,6570,6625.93,6680.5,6733.75
3.47826,300,1049.51,1613.66,2064.77,2440.28,2761.8,3042.85,3292.46,3516.95,3720.91,3907.77,4080.18,4240.2,4389.51,4529.43,4661.09,4785.41,4903.15,5014.98,5121.47,5223.1,5320.29,5413.42,5502.82,5588.76,5671.51,5751.3,5828.33,5902.79,5974.83,6044.62,6112.29,6177.97,6241.76,6303.78,6364.11,6422.86,6480.1,6535.9,6590.34,6643.48
3.74582,300,1017.87,1565.53,2006.54,2375.24,2691.84,2969.18,3215.9,3438.07,3640.12,3825.39,3996.44,4155.31,4303.6,4442.65,4573.53,4697.15,4814.27,4925.55,5031.53,5132.7,5229.47,5322.22,5411.25,5496.87,5579.32,5658.82,5735.59,5809.8,5881.62,5951.19,6018.66,6084.14,6147.75,6209.6,6269.78,6328.37,6385.46,6441.13,6495.44,6548.45
4.01338,300,985.401,1515.89,1946.3,2307.81,2619.22,2892.64,3136.29,3355.99,3556.01,3739.58,3909.19,4066.82,4214.05,4352.15,4482.2,4605.08,4721.54,4832.22,4937.66,5038.33,5134.66,5226.99,5315.65,5400.91,5483.04,5562.24,5638.73,5712.67,5784.24,5853.58,5920.83,5986.11,6049.53,6111.2,6171.2,6229.63,6286.57,6342.09,6396.26,6449.14
4.28094,300,952.338,1465.07,1884.44,2238.42,2544.38,2813.66,3054.07,3271.15,3469.03,3650.8,3818.9,3975.22,4121.3,4258.41,4387.57,4509.67,4625.42,4735.46,4840.33,4940.48,5036.33,5128.22,5216.47,5301.37,5383.14,5462.02,5538.21,5611.87,5683.18,5752.28,5819.3,5884.36,5947.57,6009.05,6068.87,6127.12,6183.89,6239.26,6293.27,6346.01
4.54849,300,918.919,1413.41,1821.33,2167.47,2467.73,2732.68,2969.68,3184.03,3379.64,3559.52,3726.01,3880.95,4025.83,4161.88,4290.11,4411.37,4526.38,4635.75,4740.01,4839.61,4934.95,5026.37,5114.2,5198.7,5280.11,5358.65,5434.51,5507.88,5578.91,5647.75,5714.52,5779.35,5842.35,5903.61,5963.24,6021.31,6077.91,6133.1,6186.96,6239.55
4.81605,300,885.372,1361.22,1757.35,2095.37,2389.7,2650.13,2883.57,3095.04,3288.29,3466.19,3630.99,3784.47,3928.09,4063.03,4190.28,4310.67,4424.89,4533.55,4637.16,4736.18,4830.98,4921.92,5009.29,5093.37,5174.4,5252.58,5328.11,5401.16,5471.9,5540.46,5606.97,5671.56,5734.33,5795.37,5854.79,5912.67,5969.08,6024.1,6077.79,6130.22
5.08361,300,851.914,1308.83,1692.86,2022.51,2310.69,2566.43,2796.17,3004.64,3195.42,3371.24,3534.27,3686.23,3828.53,3962.3,4088.52,4207.99,4321.39,4429.31,4532.25,4630.65,4724.89,4815.31,4902.21,4985.85,5066.47,5144.27,5219.45,5292.17,5362.6,5430.87,5497.11,5561.44,5623.97,5684.78,5743.99,5801.66,5857.87,5912.71,5966.22,6018.48
5.35117,300,818.746,1256.53,1628.21,1949.25,2231.09,2481.98,2707.88,2913.25,3101.45,3275.11,3436.3,3586.67,3727.58,3860.15,3985.29,4103.8,4216.33,4323.47,4425.71,4523.46,4617.12,4707,4793.4,4876.58,4956.77,5034.17,5108.98,5181.36,5251.46,5319.43,5385.38,5449.44,5511.71,5572.29,5631.27,5688.72,5744.73,5799.37,5852.7,5904.78
5.61873,300,786.058,1204.6,1563.73,1875.95,2151.29,2397.17,2619.1,2821.25,3006.79,3178.21,3337.48,3486.21,3625.68,3756.97,3880.99,3998.5,4110.14,4216.46,4317.96,4415.05,4508.09,4597.4,4683.28,4765.98,4845.72,4922.71,4997.13,5069.15,5138.91,5206.56,5272.22,5335.99,5398,5458.32,5517.06,5574.29,5630.08,5684.52,5737.65,5789.55
